WTA,Location,Tournament,Date,Tier,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL,BFEW,BFEL
1,Auckland,ASB Classic,2026-01-04,WTA250,Outdoor,Hard,1st Round,3,Bejlek S.,Udvardy P.,93,87.0,792,819.0,7.0,5.0,6,1,,,2,0,Completed,1.57,2.38,1.5,2.75,1.57,2.75,1.5,2.57,1.55,2.78
1,Auckland,ASB Classic,2026-01-04,WTA250,Outdoor,Hard,1st Round,3,Jovic I.,Knutson G.,35,182.0,1423,386.0,4.0,6.0,6,1,6,0,2,1,Completed,1.17,5.0,1.21,5.02,1.19,5.25,1.17,4.83,1.22,5.3
1,Auckland,ASB Classic,2026-01-05,WTA250,Outdoor,Hard,1st Round,3,Costoulas S.,Osuigwe W.,159,152.0,440,455.0,6.0,4.0,3,6,6,1,2,1,Completed,1.5,2.63,1.5,2.77,1.5,3.1,1.44,2.72,1.5,2.86
1,Auckland,ASB Classic,2026-01-05,WTA250,Outdoor,Hard,1st Round,3,Wang Xin.,McNally C.,57,83.0,1056,836.0,2.0,6.0,6,3,7,5,2,1,Completed,2,1.8,1.96,1.93,2.04,1.95,1.93,1.84,2.02,1.92
1,Auckland,ASB Classic,2026-01-05,WTA250,Outdoor,Hard,1st Round,3,Quevedo K.,Stearns P.,141,64.0,509,982.0,6.0,2.0,7,5,,,2,0,Completed,3,1.4,2.97,1.44,3.0,1.44,2.84,1.41,3.0,1.46
1,Auckland,ASB Classic,2026-01-05,WTA250,Outdoor,Hard,1st Round,3,Kraus S.,Grabher J.,108,92.0,709,799.0,6.0,3.0,6,3,,,2,0,Completed,1.57,2.38,1.58,2.51,1.58,2.5,1.56,2.4,1.59,2.66
1,Auckland,ASB Classic,2026-01-05,WTA250,Outdoor,Hard,1st Round,3,Jones F.,Navarro E.,72,15.0,912,2515.0,7.0,5.0,2,6,6,4,2,1,Completed,4.33,1.22,4.31,1.25,4.33,1.25,3.98,1.24,4.7,1.26
1,Auckland,ASB Classic,2026-01-05,WTA250,Outdoor,Hard,1st Round,3,Zarazua R.,Stephens S.,77,1098.0,844,14.0,7.0,5.0,4,6,6,2,2,1,Completed,1.25,4.0,1.25,4.43,1.26,4.25,1.23,3.98,1.25,4.8
1,Auckland,ASB Classic,2026-01-05,WTA250,Outdoor,Hard,1st Round,3,Marcinko P.,Osorio M.,82,76.0,837,860.0,6.0,4.0,0,6,7,6,2,1,Completed,1.8,2.0,1.79,2.12,1.81,2.01,1.78,1.99,1.79,2.22
1,Auckland,ASB Classic,2026-01-05,WTA250,Outdoor,Hard,1st Round,3,Boulter K.,Starodubtseva Y.,112,111.0,684,685.0,6.0,3.0,6,3,,,2,0,Completed,1.8,2.0,1.83,2.06,1.8,2.1,1.77,2.02,1.84,2.16
1,Auckland,ASB Classic,2026-01-06,WTA250,Outdoor,Hard,1st Round,3,Seidel E.,Barry M.,84,726.0,833,52.0,6.0,2.0,6,1,,,2,0,Completed,1.02,19.0,1.02,32.06,1.03,19.0,1.02,16.06,1.02,30.0
1,Auckland,ASB Classic,2026-01-06,WTA250,Outdoor,Hard,1st Round,3,Kartal S.,Tjen J.,68,54.0,951,1075.0,6.0,1.0,6,7,6,3,2,1,Completed,2,1.8,2.22,1.73,2.2,1.85,2.09,1.72,2.2,1.78
1,Auckland,ASB Classic,2026-01-06,WTA250,Outdoor,Hard,1st Round,3,Linette M.,Williams V.,52,582.0,1089,80.0,6.0,4.0,4,6,6,2,2,1,Completed,1.22,4.33,1.23,4.68,1.25,4.5,1.22,4.21,1.22,5.3
1,Auckland,ASB Classic,2026-01-06,WTA250,Outdoor,Hard,1st Round,3,Cocciaretto E.,Parks A.,81,101.0,837,760.0,6.0,2.0,7,5,,,2,0,Completed,1.62,2.3,1.68,2.29,1.67,2.35,1.62,2.25,1.7,2.38
1,Auckland,ASB Classic,2026-01-06,WTA250,Outdoor,Hard,1st Round,3,Svitolina E.,Gracheva V.,13,75.0,2606,887.0,6.0,3.0,6,1,,,2,0,Completed,1.25,4.0,1.25,4.35,1.25,4.4,1.22,4.13,1.25,4.8
1,Auckland,ASB Classic,2026-01-06,WTA250,Outdoor,Hard,1st Round,3,Eala A.,Vekic D.,53,69.0,1076,935.0,4.0,6.0,6,4,6,4,2,1,Completed,1.62,2.3,1.65,2.38,1.65,2.32,1.61,2.27,1.67,2.46
1,Auckland,ASB Classic,2026-01-06,WTA250,Outdoor,Hard,2nd Round,3,Jovic I.,Bejlek S.,35,93.0,1423,792.0,7.0,6.0,6,4,,,2,0,Completed,1.4,3.0,1.44,2.95,1.48,3.0,1.43,2.77,1.47,3.05
1,Auckland,ASB Classic,2026-01-07,WTA250,Outdoor,Hard,2nd Round,3,Jones F.,Kraus S.,72,108.0,912,709.0,1.0,6.0,6,4,6,1,2,1,Completed,1.4,3.0,1.38,3.26,1.4,3.1,1.38,2.97,1.43,3.25
1,Auckland,ASB Classic,2026-01-07,WTA250,Outdoor,Hard,2nd Round,3,Wang Xin.,Zarazua R.,57,77.0,1056,844.0,7.0,5.0,6,4,,,2,0,Completed,1.4,3.0,1.42,3.08,1.42,3.0,1.4,2.89,1.42,3.3
1,Auckland,ASB Classic,2026-01-07,WTA250,Outdoor,Hard,2nd Round,3,Costoulas S.,Quevedo K.,159,141.0,440,509.0,6.0,2.0,6,0,,,2,0,Completed,2,1.8,2.06,1.83,2.3,1.83,2.04,1.76,2.08,1.9
1,Auckland,ASB Classic,2026-01-08,WTA250,Outdoor,Hard,2nd Round,3,Eala A.,Marcinko P.,53,82.0,1076,837.0,6.0,0.0,6,2,,,2,0,Completed,1.57,2.38,1.63,2.42,1.62,2.6,1.58,2.33,1.63,2.56
1,Auckland,ASB Classic,2026-01-08,WTA250,Outdoor,Hard,2nd Round,3,Linette M.,Cocciaretto E.,52,81.0,1089,837.0,7.0,5.0,2,6,6,3,2,1,Completed,2,1.8,2.12,1.79,2.1,1.8,2.02,1.77,2.18,1.81
1,Auckland,ASB Classic,2026-01-08,WTA250,Outdoor,Hard,2nd Round,3,Svitolina E.,Boulter K.,13,112.0,2606,684.0,7.0,5.0,6,4,,,2,0,Completed,1.22,4.33,1.26,4.21,1.24,4.75,1.22,4.16,1.26,4.7
1,Auckland,ASB Classic,2026-01-08,WTA250,Outdoor,Hard,2nd Round,3,Kartal S.,Seidel E.,68,84.0,951,833.0,6.0,3.0,6,1,,,2,0,Completed,1.3,3.5,1.33,3.61,1.33,3.5,1.3,3.41,1.34,3.85
1,Auckland,ASB Classic,2026-01-08,WTA250,Outdoor,Hard,Quarterfinals,3,Wang Xin.,Jones F.,57,72.0,1056,912.0,6.0,4.0,4,3,,,1,2,Retired,1.33,3.4,1.39,3.23,1.38,3.5,1.35,3.14,1.4,3.4
1,Auckland,ASB Classic,2026-01-09,WTA250,Outdoor,Hard,Quarterfinals,3,Eala A.,Linette M.,53,52.0,1076,1089.0,6.0,3.0,6,2,,,2,0,Completed,1.53,2.5,1.57,2.55,1.55,2.6,1.52,2.49,1.6,2.62
1,Auckland,ASB Classic,2026-01-09,WTA250,Outdoor,Hard,Quarterfinals,3,Jovic I.,Costoulas S.,35,159.0,1423,440.0,6.0,2.0,7,6,,,2,0,Completed,1.25,4.0,1.27,4.1,1.26,4.25,1.25,3.81,1.27,4.5
1,Auckland,ASB Classic,2026-01-09,WTA250,Outdoor,Hard,Quarterfinals,3,Svitolina E.,Kartal S.,13,68.0,2606,951.0,6.0,4.0,6,7,7,6,2,1,Completed,1.33,3.4,1.36,3.4,1.34,5.5,1.3,3.61,1.37,3.6
1,Auckland,ASB Classic,2026-01-10,WTA250,Outdoor,Hard,Semifinals,3,Wang Xin.,Eala A.,57,53.0,1056,1076.0,5.0,7.0,7,5,6,4,2,1,Completed,2.63,1.5,2.76,1.51,2.75,1.53,2.53,1.51,2.88,1.52
1,Auckland,ASB Classic,2026-01-10,WTA250,Outdoor,Hard,Semifinals,3,Svitolina E.,Jovic I.,13,35.0,2606,1423.0,7.0,6.0,6,2,,,2,0,Completed,1.33,3.4,1.38,3.31,1.35,3.4,1.33,3.24,1.37,3.6
1,Auckland,ASB Classic,2026-01-11,WTA250,Outdoor,Hard,The Final,3,Svitolina E.,Wang Xin.,13,57.0,2606,1056.0,6.0,3.0,7,6,,,2,0,Completed,1.22,4.33,1.2,5.18,1.22,4.75,1.19,4.5,1.22,5.3
2,Brisbane,Brisbane International,2026-01-04,WTA500,Outdoor,Hard,1st Round,3,Tomljanovic A.,Jacquemot E.,78,56.0,844,1070.0,6.0,1.0,6,3,,,2,0,Completed,1.62,2.3,1.66,2.31,1.65,2.3,1.62,2.24,1.74,2.3
2,Brisbane,Brisbane International,2026-01-04,WTA500,Outdoor,Hard,1st Round,3,Kessler M.,Arango E.,31,48.0,1553,1149.0,6.0,1.0,6,3,,,2,0,Completed,1.25,4.0,1.26,4.17,1.28,4.25,1.25,3.88,1.3,4.2
2,Brisbane,Brisbane International,2026-01-04,WTA500,Outdoor,Hard,1st Round,3,Potapova A.,Kasatkina D.,55,40.0,1072,1275.0,7.0,5.0,4,6,6,4,2,1,Completed,2,1.8,1.94,1.94,2.0,1.97,1.93,1.85,1.96,2.0
2,Brisbane,Brisbane International,2026-01-04,WTA500,Outdoor,Hard,1st Round,3,Cirstea S.,Pavlyuchenkova A.,41,44.0,1243,1184.0,6.0,3.0,6,1,,,2,0,Completed,1.5,2.63,1.49,2.78,1.5,2.75,1.49,2.58,1.54,2.74
2,Brisbane,Brisbane International,2026-01-04,WTA500,Outdoor,Hard,1st Round,3,Kenin S.,Ruse E.G.,28,85.0,1589,825.0,6.0,4.0,4,6,6,3,2,1,Completed,2,1.8,2.03,1.86,2.1,1.85,1.99,1.79,2.04,1.93
2,Brisbane,Brisbane International,2026-01-04,WTA500,Outdoor,Hard,1st Round,3,Bouzkova M.,Cristian J.,46,38.0,1182,1324.0,6.0,4.0,6,3,,,2,0,Completed,1.5,2.63,1.44,2.99,1.5,2.9,1.43,2.77,1.44,3.2
2,Brisbane,Brisbane International,2026-01-05,WTA500,Outdoor,Hard,1st Round,3,Birrell K.,Sramkova R.,106,71.0,721,914.0,6.0,4.0,3,6,6,3,2,1,Completed,2.1,1.73,2.24,1.71,2.25,1.75,2.18,1.66,2.2,1.77
2,Brisbane,Brisbane International,2026-01-05,WTA500,Outdoor,Hard,1st Round,3,Zhang S.,Krueger A.,79,49.0,843,1134.0,6.0,4.0,5,7,6,4,2,1,Completed,1.67,2.2,1.77,2.16,1.73,2.23,1.69,2.14,1.81,2.16
2,Brisbane,Brisbane International,2026-01-05,WTA500,Outdoor,Hard,1st Round,3,Gadecki O.,Li A.,204,37.0,350,1334.0,6.0,4.0,6,4,,,2,0,Completed,2.38,1.57,2.45,1.61,2.42,1.65,2.32,1.59,2.52,1.62
2,Brisbane,Brisbane International,2026-01-05,WTA500,Outdoor,Hard,1st Round,3,Bucsa C.,Bondar A.,50,73.0,1127,900.0,4.0,6.0,7,6,6,2,2,1,Completed,1.53,2.5,1.56,2.58,1.67,2.65,1.52,2.5,1.57,2.56
2,Brisbane,Brisbane International,2026-01-05,WTA500,Outdoor,Hard,1st Round,3,Putintseva Y.,Baptiste H.,74,65.0,891,979.0,6.0,2.0,6,4,,,2,0,Completed,,,,,,,,,,
2,Brisbane,Brisbane International,2026-01-05,WTA500,Outdoor,Hard,1st Round,3,Sasnovich A.,Blinkova A.,113,61.0,672,1016.0,7.0,5.0,6,1,,,2,0,Completed,1.62,2.3,1.64,2.39,1.63,2.5,1.57,2.37,1.64,2.52
2,Brisbane,Brisbane International,2026-01-05,WTA500,Outdoor,Hard,1st Round,3,Kalinskaya A.,Valentova T.,33,60.0,1461,1035.0,6.0,4.0,6,4,,,2,0,Completed,2.3,1.62,2.58,1.56,2.4,1.9,2.26,1.62,2.6,1.61
2,Brisbane,Brisbane International,2026-01-05,WTA500,Outdoor,Hard,1st Round,3,Yastremska D.,Gibson T.,27,118.0,1604,634.0,7.0,6.0,7,6,,,2,0,Completed,1.5,2.63,1.56,2.58,1.53,3.0,1.5,2.56,1.62,2.6
2,Brisbane,Brisbane International,2026-01-05,WTA500,Outdoor,Hard,1st Round,3,Frech M.,Vondrousova M.,59,34.0,1051,1445.0,7.0,5.0,6,7,7,6,2,1,Completed,4.33,1.22,4.46,1.24,4.33,1.23,4.14,1.22,4.5,1.28
2,Brisbane,Brisbane International,2026-01-05,WTA500,Outdoor,Hard,1st Round,3,Jones E.,Maria T.,147,43.0,491,1229.0,6.0,3.0,6,3,,,2,0,Completed,1.33,3.4,1.38,3.3,1.38,4.33,1.33,3.29,1.37,3.55
2,Brisbane,Brisbane International,2026-01-06,WTA500,Outdoor,Hard,2nd Round,3,Keys M.,Kessler M.,7,31.0,4335,1553.0,6.0,4.0,6,3,,,2,0,Completed,1.67,2.2,1.67,2.33,1.67,2.35,1.64,2.23,1.72,2.36
2,Brisbane,Brisbane International,2026-01-06,WTA500,Outdoor,Hard,2nd Round,3,Shnaider D.,Potapova A.,21,55.0,1866,1072.0,6.0,1.0,6,3,,,2,0,Completed,1.62,2.3,1.75,2.18,1.73,2.5,1.65,2.22,1.73,2.3
2,Brisbane,Brisbane International,2026-01-06,WTA500,Outdoor,Hard,2nd Round,3,Sabalenka A.,Bucsa C.,1,50.0,10490,1127.0,6.0,0.0,6,1,,,2,0,Completed,1.06,10.0,1.06,12.44,1.06,12.5,1.04,10.47,1.06,15.5
2,Brisbane,Brisbane International,2026-01-06,WTA500,Outdoor,Hard,2nd Round,3,Alexandrova E.,Kenin S.,10,28.0,3375,1589.0,7.0,6.0,6,3,,,2,0,Completed,1.3,3.5,1.36,3.38,1.33,3.5,1.33,3.31,1.38,3.5
2,Brisbane,Brisbane International,2026-01-06,WTA500,Outdoor,Hard,2nd Round,3,Cirstea S.,Ostapenko J.,41,23.0,1243,1800.0,6.0,2.0,7,6,,,2,0,Completed,1.4,3.0,1.41,3.11,1.44,3.25,1.39,2.95,1.41,3.3
2,Brisbane,Brisbane International,2026-01-06,WTA500,Outdoor,Hard,2nd Round,3,Muchova K.,Tomljanovic A.,20,78.0,1888,844.0,4.0,6.0,6,1,7,6,2,1,Completed,1.33,3.4,1.37,3.36,1.36,3.5,1.34,3.22,1.38,3.55
2,Brisbane,Brisbane International,2026-01-06,WTA500,Outdoor,Hard,2nd Round,3,Rybakina E.,Zhang S.,5,79.0,5850,843.0,6.0,3.0,7,5,,,2,0,Completed,1.1,7.0,1.11,8.14,1.11,7.0,1.1,6.78,1.11,9.4
2,Brisbane,Brisbane International,2026-01-06,WTA500,Outdoor,Hard,2nd Round,3,Badosa P.,Bouzkova M.,25,46.0,1675,1182.0,6.0,7.0,6,4,6,2,2,1,Completed,1.8,2.0,1.81,2.09,1.9,2.05,1.8,1.97,1.87,2.12
2,Brisbane,Brisbane International,2026-01-07,WTA500,Outdoor,Hard,2nd Round,3,Yastremska D.,Fernandez L.A.,27,22.0,1604,1821.0,6.0,1.0,6,2,,,2,0,Completed,2.63,1.5,2.7,1.52,2.65,1.52,2.56,1.5,2.78,1.55
2,Brisbane,Brisbane International,2026-01-07,WTA500,Outdoor,Hard,2nd Round,3,Pegula J.,Kalinskaya A.,6,33.0,5583,1461.0,6.0,2.0,2,6,6,4,2,1,Completed,1.53,2.5,1.54,2.63,1.6,2.6,1.51,2.51,1.57,2.72
2,Brisbane,Brisbane International,2026-01-07,WTA500,Outdoor,Hard,2nd Round,3,Sasnovich A.,Tauson C.,113,14.0,672,2530.0,6.0,2.0,6,3,,,2,0,Completed,2.5,1.53,2.61,1.55,2.55,1.84,2.41,1.56,2.72,1.57
2,Brisbane,Brisbane International,2026-01-07,WTA500,Outdoor,Hard,2nd Round,3,Samsonova L.,Jones E.,17,147.0,2209,491.0,6.0,4.0,6,1,,,2,0,Completed,1.44,2.75,1.47,2.86,1.63,2.75,1.48,2.62,1.47,3.05
2,Brisbane,Brisbane International,2026-01-07,WTA500,Outdoor,Hard,2nd Round,3,Noskova L.,Frech M.,12,59.0,2641,1051.0,6.0,7.0,6,4,6,4,2,1,Completed,1.29,3.75,1.3,3.83,1.3,3.8,1.27,3.71,1.29,4.3
2,Brisbane,Brisbane International,2026-01-07,WTA500,Outdoor,Hard,2nd Round,3,Andreeva M.,Gadecki O.,9,204.0,4125,350.0,4.0,6.0,6,1,6,2,2,1,Completed,1.17,5.0,1.21,4.95,1.2,5.5,1.18,4.73,1.21,5.5
2,Brisbane,Brisbane International,2026-01-07,WTA500,Outdoor,Hard,2nd Round,3,Kostyuk M.,Putintseva Y.,26,74.0,1659,891.0,6.0,7.0,6,1,6,0,2,1,Completed,1.44,2.75,1.43,3.05,1.45,2.88,1.42,2.77,1.42,3.3
2,Brisbane,Brisbane International,2026-01-07,WTA500,Outdoor,Hard,2nd Round,3,Anisimova A.,Birrell K.,3,106.0,6287,721.0,6.0,1.0,6,3,,,2,0,Completed,1.17,5.0,1.19,5.41,1.19,5.25,1.16,4.99,1.2,5.8
2,Brisbane,Brisbane International,2026-01-08,WTA500,Outdoor,Hard,3rd Round,3,Sabalenka A.,Cirstea S.,1,41.0,10490,1243.0,6.0,3.0,6,3,,,2,0,Completed,1.07,9.0,1.17,5.05,1.13,9.0,1.1,7.09,1.15,7.2
2,Brisbane,Brisbane International,2026-01-08,WTA500,Outdoor,Hard,3rd Round,3,Rybakina E.,Badosa P.,5,25.0,5850,1675.0,6.0,3.0,6,2,,,2,0,Completed,1.17,5.0,1.22,4.61,1.23,5.2,1.2,4.45,1.21,5.5
2,Brisbane,Brisbane International,2026-01-08,WTA500,Outdoor,Hard,3rd Round,3,Muchova K.,Alexandrova E.,20,10.0,1888,3375.0,6.0,4.0,7,5,,,2,0,Completed,2.3,1.62,2.43,1.62,2.38,1.68,2.25,1.63,2.4,1.69
2,Brisbane,Brisbane International,2026-01-08,WTA500,Outdoor,Hard,3rd Round,3,Keys M.,Shnaider D.,7,21.0,4335,1866.0,6.0,7.0,7,6,7,6,2,1,Completed,1.57,2.38,1.56,2.58,1.65,2.45,1.58,2.33,1.61,2.62
2,Brisbane,Brisbane International,2026-01-08,WTA500,Outdoor,Hard,3rd Round,3,Samsonova L.,Sasnovich A.,17,113.0,2209,672.0,6.0,4.0,6,4,,,2,0,Completed,1.57,2.38,1.63,2.41,1.63,2.38,1.58,2.33,1.67,2.48
2,Brisbane,Brisbane International,2026-01-08,WTA500,Outdoor,Hard,3rd Round,3,Pegula J.,Yastremska D.,6,27.0,5583,1604.0,5.0,7.0,6,2,6,3,2,1,Completed,1.36,3.2,1.39,3.25,1.44,3.25,1.36,3.06,1.43,3.25
2,Brisbane,Brisbane International,2026-01-08,WTA500,Outdoor,Hard,3rd Round,3,Kostyuk M.,Anisimova A.,26,3.0,1659,6287.0,6.0,4.0,6,3,,,2,0,Completed,3.2,1.36,3.27,1.38,3.25,1.44,3.0,1.38,3.35,1.41
2,Brisbane,Brisbane International,2026-01-08,WTA500,Outdoor,Hard,3rd Round,3,Andreeva M.,Noskova L.,9,12.0,4125,2641.0,5.0,7.0,6,4,7,5,2,1,Completed,1.44,2.75,1.49,2.8,1.44,2.95,1.42,2.79,1.53,2.86
2,Brisbane,Brisbane International,2026-01-09,WTA500,Outdoor,Hard,Quarterfinals,3,Muchova K.,Rybakina E.,20,5.0,1888,5850.0,6.0,2.0,2,6,6,4,2,1,Completed,4.33,1.22,4.29,1.26,4.33,1.25,4.09,1.23,4.8,1.25
2,Brisbane,Brisbane International,2026-01-09,WTA500,Outdoor,Hard,Quarterfinals,3,Sabalenka A.,Keys M.,1,7.0,10490,4335.0,6.0,3.0,6,3,,,2,0,Completed,1.17,5.0,,,1.21,6.0,1.17,4.86,1.19,6.0
2,Brisbane,Brisbane International,2026-01-09,WTA500,Outdoor,Hard,Quarterfinals,3,Pegula J.,Samsonova L.,6,17.0,5583,2209.0,6.0,3.0,7,6,,,2,0,Completed,1.36,3.2,,,1.44,3.25,1.36,3.07,1.47,3.05
2,Brisbane,Brisbane International,2026-01-09,WTA500,Outdoor,Hard,Quarterfinals,3,Kostyuk M.,Andreeva M.,26,9.0,1659,4125.0,7.0,6.0,6,3,,,2,0,Completed,2.1,1.73,,,2.1,1.83,2.01,1.78,2.08,1.9
2,Brisbane,Brisbane International,2026-01-10,WTA500,Outdoor,Hard,Semifinals,3,Sabalenka A.,Muchova K.,1,20.0,10490,1888.0,6.0,3.0,6,4,,,2,0,Completed,1.2,4.5,1.26,4.33,1.23,4.6,1.21,4.32,1.28,4.4
2,Brisbane,Brisbane International,2026-01-10,WTA500,Outdoor,Hard,Semifinals,3,Kostyuk M.,Pegula J.,26,6.0,1659,5583.0,6.0,0.0,6,3,,,2,0,Completed,2.2,1.67,,,2.25,1.7,2.2,1.66,2.34,1.72
2,Brisbane,Brisbane International,2026-01-11,WTA500,Outdoor,Hard,The Final,3,Sabalenka A.,Kostyuk M.,1,26.0,10490,1659.0,6.0,4.0,6,3,,,2,0,Completed,1.29,3.75,1.29,4.06,1.3,4.0,1.27,3.71,1.3,4.2
3,Adelaide,Adelaide International,2026-01-12,WTA500,Outdoor,Hard,1st Round,3,Navarro E.,Jones E.,15,155.0,2467,463.0,6.0,3.0,6,3,,,2,0,Completed,1.3,3.5,1.38,3.3,1.34,3.6,1.32,3.33,1.38,3.45
3,Adelaide,Adelaide International,2026-01-12,WTA500,Outdoor,Hard,1st Round,3,Mboko V.,Haddad Maia B.,17,59.0,2157,1052.0,5.0,7.0,6,3,6,2,2,1,Completed,1.29,3.75,1.27,4.17,1.3,4.0,1.26,3.77,1.27,4.5
3,Adelaide,Adelaide International,2026-01-12,WTA500,Outdoor,Hard,1st Round,3,Tomljanovic A.,Tauson C.,76,14.0,851,2530.0,7.0,6.0,,,,,1,0,Retired,2.2,1.67,2.21,1.74,2.54,1.67,2.26,1.62,2.22,1.76
3,Adelaide,Adelaide International,2026-01-12,WTA500,Outdoor,Hard,1st Round,3,Kalinskaya A.,Ruse E.G.,33,79.0,1483,849.0,6.0,0.0,6,3,,,2,0,Completed,1.57,2.38,1.58,2.53,1.58,2.55,1.54,2.44,1.62,2.56
3,Adelaide,Adelaide International,2026-01-12,WTA500,Outdoor,Hard,1st Round,3,Bouzkova M.,Badosa P.,45,26.0,1184,1675.0,3.0,6.0,6,3,6,4,2,1,Completed,2.2,1.67,2.19,1.75,2.23,1.76,2.14,1.68,2.28,1.76
3,Adelaide,Adelaide International,2026-01-12,WTA500,Outdoor,Hard,1st Round,3,Cristian J.,Alexandrova E.,37,11.0,1324,3375.0,6.0,4.0,6,4,,,2,0,Completed,4,1.25,4.43,1.24,4.1,1.25,3.97,1.24,4.7,1.25
3,Adelaide,Adelaide International,2026-01-12,WTA500,Outdoor,Hard,1st Round,3,Kasatkina D.,Sakkari M.,48,52.0,1168,1133.0,7.0,6.0,6,4,,,2,0,Completed,2.5,1.53,,,2.5,1.57,2.43,1.53,2.56,1.62
3,Adelaide,Adelaide International,2026-01-13,WTA500,Outdoor,Hard,1st Round,3,Shnaider D.,Fernandez L.A.,23,22.0,1818,1821.0,7.0,5.0,6,3,,,2,0,Completed,1.73,2.1,1.72,2.23,1.8,2.12,1.74,2.06,1.87,2.12
3,Adelaide,Adelaide International,2026-01-13,WTA500,Outdoor,Hard,1st Round,3,Birrell K.,Potapova A.,107,54.0,726,1103.0,6.0,4.0,6,4,,,2,0,Completed,2.2,1.67,2.38,1.65,2.2,1.9,2.09,1.72,2.2,1.8
3,Adelaide,Adelaide International,2026-01-13,WTA500,Outdoor,Hard,1st Round,3,Vondrousova M.,Samsonova L.,34,18.0,1386,2122.0,6.0,1.0,4,6,6,2,2,1,Completed,1.73,2.1,1.8,2.11,1.76,2.2,1.72,2.09,1.8,2.2
3,Adelaide,Adelaide International,2026-01-13,WTA500,Outdoor,Hard,1st Round,3,Joint M.,Kenin S.,32,28.0,1490,1567.0,7.0,6.0,6,4,,,2,0,Completed,1.8,2.0,1.79,2.12,1.83,2.05,1.78,2.0,1.83,2.14
3,Adelaide,Adelaide International,2026-01-13,WTA500,Outdoor,Hard,1st Round,3,Valentova T.,Ostapenko J.,60,24.0,1036,1741.0,7.0,5.0,3,2,,,1,0,Retired,1.36,3.2,1.35,3.5,1.36,3.5,1.33,3.23,1.4,3.35
3,Adelaide,Adelaide International,2026-01-13,WTA500,Outdoor,Hard,1st Round,3,Putintseva Y.,Galfi D.,105,93.0,741,789.0,6.0,4.0,6,4,,,2,0,Completed,1.44,2.75,1.49,2.79,1.47,3.0,1.41,2.81,1.44,3.2
3,Adelaide,Adelaide International,2026-01-13,WTA500,Outdoor,Hard,1st Round,3,Siniakova K.,Yastremska D.,46,27.0,1172,1610.0,6.0,0.0,6,1,,,2,0,Completed,2.2,1.67,,,2.25,1.67,2.2,1.65,,
3,Adelaide,Adelaide International,2026-01-13,WTA500,Outdoor,Hard,2nd Round,3,Mboko V.,Kalinskaya A.,17,33.0,2157,1483.0,6.0,2.0,3,6,7,6,2,1,Completed,1.8,2.0,,,1.85,2.4,1.77,2.02,1.88,2.1
3,Adelaide,Adelaide International,2026-01-13,WTA500,Outdoor,Hard,2nd Round,3,Andreeva M.,Bouzkova M.,8,45.0,4232,1184.0,6.0,3.0,6,1,,,2,0,Completed,1.4,3.0,,,1.4,3.05,1.38,2.95,1.46,3.1
3,Adelaide,Adelaide International,2026-01-14,WTA500,Outdoor,Hard,2nd Round,3,Birrell K.,Vondrousova M.,107,34.0,726,1386.0,,,,,,,,,Walkover,4.33,1.22,,,4.4,1.22,4.22,1.21,4.7,1.25
3,Adelaide,Adelaide International,2026-01-14,WTA500,Outdoor,Hard,2nd Round,3,Cristian J.,Kasatkina D.,37,48.0,1324,1168.0,6.0,4.0,6,0,,,2,0,Completed,2,1.8,,,2.17,1.8,2.09,1.71,2.3,1.75
3,Adelaide,Adelaide International,2026-01-14,WTA500,Outdoor,Hard,2nd Round,3,Keys M.,Valentova T.,9,60.0,4003,1036.0,6.0,4.0,6,1,,,2,0,Completed,1.67,2.2,,,1.67,2.3,1.64,2.21,1.67,2.44
3,Adelaide,Adelaide International,2026-01-14,WTA500,Outdoor,Hard,2nd Round,3,Shnaider D.,Siniakova K.,23,46.0,1818,1172.0,6.0,1.0,2,6,7,5,2,1,Completed,1.57,2.38,,,1.61,2.5,1.58,2.34,1.64,2.5
3,Adelaide,Adelaide International,2026-01-14,WTA500,Outdoor,Hard,2nd Round,3,Navarro E.,Putintseva Y.,15,105.0,2467,741.0,6.0,1.0,6,4,,,2,0,Completed,1.57,2.38,,,1.6,3.0,1.55,2.41,1.66,2.48
3,Adelaide,Adelaide International,2026-01-14,WTA500,Outdoor,Hard,2nd Round,3,Joint M.,Tomljanovic A.,32,76.0,1490,851.0,0.0,2.0,,,,,0,0,Retired,1.8,2.0,,,1.87,2.07,1.83,1.94,1.94,2.04
3,Adelaide,Adelaide International,2026-01-15,WTA500,Outdoor,Hard,Quarterfinals,3,Birrell K.,Cristian J.,107,37.0,726,1324.0,5.0,7.0,6,1,7,5,2,1,Completed,2.5,1.53,,,2.6,1.57,2.45,1.54,2.58,1.6
3,Adelaide,Adelaide International,2026-01-15,WTA500,Outdoor,Hard,Quarterfinals,3,Mboko V.,Keys M.,17,9.0,2157,4003.0,6.0,4.0,4,6,6,2,2,1,Completed,2.38,1.57,,,2.43,1.65,2.35,1.57,2.58,1.62
3,Adelaide,Adelaide International,2026-01-15,WTA500,Outdoor,Hard,Quarterfinals,3,Shnaider D.,Navarro E.,23,15.0,1818,2467.0,6.0,3.0,6,3,,,2,0,Completed,1.8,2.0,,,1.8,2.1,1.75,2.03,1.86,2.14
