source,tour,year,uk_tournament_id,tournament_name,location,match_date,series,is_outdoor,surface,round,players_remaining,best_of,winner_name,loser_name,winner_rank,loser_rank,winner_rank_points,loser_rank_points,winner_sets,loser_sets,winner_set_1_games,loser_set_1_games,winner_set_2_games,loser_set_2_games,winner_set_3_games,loser_set_3_games,winner_set_4_games,loser_set_4_games,winner_set_5_games,loser_set_5_games,match_status,odds_b365_winner,odds_b365_loser,odds_pinnacle_winner,odds_pinnacle_loser,odds_max_winner,odds_max_loser,odds_avg_winner,odds_avg_loser,source_event_key,source_match_key,canonical_match_key,official_tournament_id,canonical_tourney_id,canonical_tourney_name,canonical_round,canonical_winner_id,canonical_winner_name,canonical_loser_id,canonical_loser_name,match_method,review_flag,data_quality_flag
tennis_data_uk,wta,2010,1,ASB Classic,Auckland,2010-01-03,international,True,hard,R32,32,3,Wickmayer Y.,Goerges J.,16,77,2385.0,818.0,2,0,6,3,7,5,,,,,,,completed,1.22,4.0,1.261,4.41,,,,,2010_1_auckland_asb_classic,2010_1_auckland_asb_classic_2010-01-03_R32_wickmayer_y_goerges_j,2010-W-INT-NZL-01A-2010_12,1049,2010-W-INT-NZL-01A-2010,Auckland,R32,201518,Yanina Wickmayer,201504,Julia Goerges,tournament_rank_unique,False,
tennis_data_uk,wta,2010,1,ASB Classic,Auckland,2010-01-04,international,True,hard,R32,32,3,Pennetta F.,Craybas J.,12,76,3150.0,829.0,2,0,6,2,6,4,,,,,,,completed,1.1,6.5,1.137,7.14,,,,,2010_1_auckland_asb_classic,2010_1_auckland_asb_classic_2010-01-04_R32_pennetta_f_craybas_j,2010-W-INT-NZL-01A-2010_1,1049,2010-W-INT-NZL-01A-2010,Auckland,R32,201355,Flavia Pennetta,200754,Jill Craybas,tournament_rank_unique,False,
tennis_data_uk,wta,2010,1,ASB Classic,Auckland,2010-01-04,international,True,hard,R32,32,3,Cibulkova D.,Dulgheru A.,28,52,1875.0,1228.0,2,0,6,0,6,3,,,,,,,completed,1.28,3.5,1.341,3.65,,,,,2010_1_auckland_asb_classic,2010_1_auckland_asb_classic_2010-01-04_R32_cibulkova_d_dulgheru_a,2010-W-INT-NZL-01A-2010_3,1049,2010-W-INT-NZL-01A-2010,Auckland,R32,201495,Dominika Cibulkova,201567,Alexandra Dulgheru,tournament_rank_unique,False,
tennis_data_uk,wta,2010,1,ASB Classic,Auckland,2010-01-04,international,True,hard,R32,32,3,Date Krumm K.,Chakvetadze A.,69,67,915.0,924.0,2,0,6,1,6,2,,,,,,,completed,2.1,1.66,2.2,1.769,,,,,2010_1_auckland_asb_classic,2010_1_auckland_asb_classic_2010-01-04_R32_date_krumm_k_chakvetadze_a,2010-W-INT-NZL-01A-2010_10,1049,2010-W-INT-NZL-01A-2010,Auckland,R32,200617,Kimiko Date Krumm,201403,Anna Chakvetadze,tournament_rank_unique,False,
tennis_data_uk,wta,2010,1,ASB Classic,Auckland,2010-01-04,international,True,hard,R32,32,3,Rybarikova M.,Medina Garrigues A.,44,27,1425.0,1910.0,2,0,6,2,6,3,,,,,,,completed,1.83,1.83,1.926,2.0,,,,,2010_1_auckland_asb_classic,2010_1_auckland_asb_classic_2010-01-04_R32_rybarikova_m_medina_garrigues_a,2010-W-INT-NZL-01A-2010_13,1049,2010-W-INT-NZL-01A-2010,Auckland,R32,201517,Magdalena Rybarikova,201286,Anabel Medina Garrigues,tournament_rank_unique,False,
tennis_data_uk,wta,2010,1,ASB Classic,Auckland,2010-01-04,international,True,hard,R32,32,3,Rezai A.,Coin J.,25,74,1985.0,869.0,2,0,6,4,6,3,,,,,,,completed,1.25,3.75,1.308,3.92,,,,,2010_1_auckland_asb_classic,2010_1_auckland_asb_classic_2010-01-04_R32_rezai_a_coin_j,2010-W-INT-NZL-01A-2010_4,1049,2010-W-INT-NZL-01A-2010,Auckland,R32,201431,Aravane Rezai,201526,Julie Coin,tournament_rank_unique,False,
tennis_data_uk,wta,2010,1,ASB Classic,Auckland,2010-01-04,international,True,hard,R32,32,3,Peer S.,Hercog P.,30,68,1780.0,916.0,2,0,7,5,6,3,,,,,,,completed,1.16,4.5,1.212,5.14,,,,,2010_1_auckland_asb_classic,2010_1_auckland_asb_classic_2010-01-04_R32_peer_s_hercog_p,2010-W-INT-NZL-01A-2010_14,1049,2010-W-INT-NZL-01A-2010,Auckland,R32,201424,Shahar Peer,201555,Polona Hercog,tournament_rank_unique,False,
tennis_data_uk,wta,2010,1,ASB Classic,Auckland,2010-01-04,international,True,hard,R32,32,3,Schiavone F.,Cohen Aloro S.,17,122,2375.0,511.0,2,0,6,2,6,3,,,,,,,completed,1.16,4.5,1.199,5.38,,,,,2010_1_auckland_asb_classic,2010_1_auckland_asb_classic_2010-01-04_R32_schiavone_f_cohen_aloro_s,2010-W-INT-NZL-01A-2010_5,1049,2010-W-INT-NZL-01A-2010,Auckland,R32,201212,Francesca Schiavone,200770,Stephanie Cohen Aloro,tournament_rank_unique,False,
tennis_data_uk,wta,2010,1,ASB Classic,Auckland,2010-01-04,international,True,hard,R32,32,3,Suarez Navarro C.,Gallovits E.,33,104,1675.0,626.0,2,0,6,4,7,5,,,,,,,completed,1.5,2.5,1.625,2.47,,,,,2010_1_auckland_asb_classic,2010_1_auckland_asb_classic_2010-01-04_R32_suarez_navarro_c_gallovits_e,2010-W-INT-NZL-01A-2010_2,1049,2010-W-INT-NZL-01A-2010,Auckland,R32,201521,Carla Suarez Navarro,201365,Edina Gallovits Hall,tournament_rank_unique,False,
tennis_data_uk,wta,2010,1,ASB Classic,Auckland,2010-01-05,international,True,hard,R32,32,3,Cornet A.,Erakovic M.,49,227,1285.0,227.0,2,0,6,4,6,3,,,,,,,completed,1.36,3.0,1.37,3.45,,,,,2010_1_auckland_asb_classic,2010_1_auckland_asb_classic_2010-01-05_R32_cornet_a_erakovic_m,2010-W-INT-NZL-01A-2010_7,1049,2010-W-INT-NZL-01A-2010,Auckland,R32,201427,Alize Cornet,201523,Marina Erakovic,tournament_rank_unique,False,
tennis_data_uk,wta,2010,1,ASB Classic,Auckland,2010-01-05,international,True,hard,R32,32,3,Razzano V.,Niculescu M.,19,103,2300.0,626.0,2,0,7,5,6,4,,,,,,,completed,1.36,3.0,1.448,3.04,,,,,2010_1_auckland_asb_classic,2010_1_auckland_asb_classic_2010-01-05_R32_razzano_v_niculescu_m,2010-W-INT-NZL-01A-2010_9,1049,2010-W-INT-NZL-01A-2010,Auckland,R32,200043,Virginie Razzano,201512,Monica Niculescu,tournament_rank_unique,False,
tennis_data_uk,wta,2010,1,ASB Classic,Auckland,2010-01-05,international,True,hard,R32,32,3,Mirza S.,Voegele,57,75,1119.0,855.0,2,1,5,7,6,1,7,5,,,,,completed,1.4,2.75,1.513,2.79,,,,,2010_1_auckland_asb_classic,2010_1_auckland_asb_classic_2010-01-05_R32_mirza_s_voegele,2010-W-INT-NZL-01A-2010_6,1049,2010-W-INT-NZL-01A-2010,Auckland,R32,201420,Sania Mirza,201527,Stefanie Voegele,tournament_rank_unique,False,
tennis_data_uk,wta,2010,1,ASB Classic,Auckland,2010-01-05,international,True,hard,R32,32,3,Kanepi K.,Li N.,58,15,1101.0,2541.0,2,0,6,1,6,3,,,,,,,completed,5.0,1.14,5.17,1.211,,,,,2010_1_auckland_asb_classic,2010_1_auckland_asb_classic_2010-01-05_R32_kanepi_k_li_n,2010-W-INT-NZL-01A-2010_16,1049,2010-W-INT-NZL-01A-2010,Auckland,R32,201466,Kaia Kanepi,201419,Na Li,tournament_rank_unique,False,
tennis_data_uk,wta,2010,1,ASB Classic,Auckland,2010-01-05,international,True,hard,R32,32,3,Olaru I.,Baltacha E.,72,84,893.0,754.0,2,0,6,2,6,2,,,,,,,completed,2.1,1.66,2.26,1.73,,,,,2010_1_auckland_asb_classic,2010_1_auckland_asb_classic_2010-01-05_R32_olaru_i_baltacha_e,2010-W-INT-NZL-01A-2010_11,1049,2010-W-INT-NZL-01A-2010,Auckland,R32,201494,Raluca Olaru,201304,Elena Baltacha,tournament_rank_unique,False,
tennis_data_uk,wta,2010,1,ASB Classic,Auckland,2010-01-05,international,True,hard,R32,32,3,Vesnina E.,Brianti A.,23,73,2011.0,877.0,2,0,6,1,6,4,,,,,,,completed,1.25,3.75,1.298,4.02,,,,,2010_1_auckland_asb_classic,2010_1_auckland_asb_classic_2010-01-05_R32_vesnina_e_brianti_a,2010-W-INT-NZL-01A-2010_8,1049,2010-W-INT-NZL-01A-2010,Auckland,R32,201455,Elena Vesnina,201462,Alberta Brianti,tournament_rank_unique,False,
tennis_data_uk,wta,2010,1,ASB Classic,Auckland,2010-01-05,international,True,hard,R32,32,3,Kirilenko M.,Malek T.,62,71,1085.0,901.0,2,0,6,2,6,3,,,,,,,completed,1.36,3.0,1.417,3.19,,,,,2010_1_auckland_asb_classic,2010_1_auckland_asb_classic_2010-01-05_R32_kirilenko_m_malek_t,2010-W-INT-NZL-01A-2010_15,1049,2010-W-INT-NZL-01A-2010,Auckland,R32,201373,Maria Kirilenko,213583,Tatjana Maria,tournament_rank_unique,False,
tennis_data_uk,wta,2010,1,ASB Classic,Auckland,2010-01-05,international,True,hard,R16,16,3,Peer S.,Rybarikova M.,30,44,1780.0,1425.0,2,0,6,1,6,0,,,,,,,completed,1.61,2.2,1.781,2.18,,,,,2010_1_auckland_asb_classic,2010_1_auckland_asb_classic_2010-01-05_R16_peer_s_rybarikova_m,2010-W-INT-NZL-01A-2010_23,1049,2010-W-INT-NZL-01A-2010,Auckland,R16,201424,Shahar Peer,201517,Magdalena Rybarikova,tournament_rank_unique,False,
tennis_data_uk,wta,2010,1,ASB Classic,Auckland,2010-01-05,international,True,hard,R16,16,3,Pennetta F.,Suarez Navarro C.,12,33,3150.0,1675.0,2,0,6,2,6,2,,,,,,,completed,1.16,4.5,1.26,4.43,,,,,2010_1_auckland_asb_classic,2010_1_auckland_asb_classic_2010-01-05_R16_pennetta_f_suarez_navarro_c,2010-W-INT-NZL-01A-2010_17,1049,2010-W-INT-NZL-01A-2010,Auckland,R16,201355,Flavia Pennetta,201521,Carla Suarez Navarro,tournament_rank_unique,False,
tennis_data_uk,wta,2010,1,ASB Classic,Auckland,2010-01-05,international,True,hard,R16,16,3,Wickmayer Y.,Olaru I.,16,72,2385.0,893.0,2,0,6,2,6,2,,,,,,,completed,1.16,4.5,1.215,5.09,,,,,2010_1_auckland_asb_classic,2010_1_auckland_asb_classic_2010-01-05_R16_wickmayer_y_olaru_i,2010-W-INT-NZL-01A-2010_22,1049,2010-W-INT-NZL-01A-2010,Auckland,R16,201518,Yanina Wickmayer,201494,Raluca Olaru,tournament_rank_unique,False,
tennis_data_uk,wta,2010,1,ASB Classic,Auckland,2010-01-06,international,True,hard,R16,16,3,Schiavone F.,Mirza S.,17,57,2375.0,1119.0,2,0,6,0,6,3,,,,,,,completed,1.3,3.4,1.309,3.91,,,,,2010_1_auckland_asb_classic,2010_1_auckland_asb_classic_2010-01-06_R16_schiavone_f_mirza_s,2010-W-INT-NZL-01A-2010_19,1049,2010-W-INT-NZL-01A-2010,Auckland,R16,201212,Francesca Schiavone,201420,Sania Mirza,tournament_rank_unique,False,
tennis_data_uk,wta,2010,1,ASB Classic,Auckland,2010-01-06,international,True,hard,R16,16,3,Kirilenko M.,Kanepi K.,62,58,1085.0,1101.0,2,0,6,2,6,3,,,,,,,completed,1.57,2.25,1.714,2.29,,,,,2010_1_auckland_asb_classic,2010_1_auckland_asb_classic_2010-01-06_R16_kirilenko_m_kanepi_k,2010-W-INT-NZL-01A-2010_24,1049,2010-W-INT-NZL-01A-2010,Auckland,R16,201373,Maria Kirilenko,201466,Kaia Kanepi,tournament_rank_unique,False,
tennis_data_uk,wta,2010,1,ASB Classic,Auckland,2010-01-06,international,True,hard,R16,16,3,Cornet A.,Vesnina E.,49,23,1285.0,2011.0,2,0,6,1,6,1,,,,,,,completed,2.25,1.57,2.5,1.613,,,,,2010_1_auckland_asb_classic,2010_1_auckland_asb_classic_2010-01-06_R16_cornet_a_vesnina_e,2010-W-INT-NZL-01A-2010_20,1049,2010-W-INT-NZL-01A-2010,Auckland,R16,201427,Alize Cornet,201455,Elena Vesnina,tournament_rank_unique,False,
tennis_data_uk,wta,2010,1,ASB Classic,Auckland,2010-01-06,international,True,hard,R16,16,3,Cibulkova D.,Rezai A.,28,25,1875.0,1985.0,2,0,6,3,6,4,,,,,,,completed,1.72,2.0,1.885,2.04,,,,,2010_1_auckland_asb_classic,2010_1_auckland_asb_classic_2010-01-06_R16_cibulkova_d_rezai_a,2010-W-INT-NZL-01A-2010_18,1049,2010-W-INT-NZL-01A-2010,Auckland,R16,201495,Dominika Cibulkova,201431,Aravane Rezai,tournament_rank_unique,False,
tennis_data_uk,wta,2010,1,ASB Classic,Auckland,2010-01-06,international,True,hard,R16,16,3,Date Krumm K.,Razzano V.,69,19,915.0,2300.0,2,1,3,6,6,3,6,2,,,,,completed,2.37,1.53,2.39,1.662,,,,,2010_1_auckland_asb_classic,2010_1_auckland_asb_classic_2010-01-06_R16_date_krumm_k_razzano_v,2010-W-INT-NZL-01A-2010_21,1049,2010-W-INT-NZL-01A-2010,Auckland,R16,200617,Kimiko Date Krumm,200043,Virginie Razzano,tournament_rank_unique,False,
tennis_data_uk,wta,2010,1,ASB Classic,Auckland,2010-01-06,international,True,hard,QF,8,3,Peer S.,Kirilenko M.,30,62,1780.0,1085.0,2,1,6,0,3,6,6,1,,,,,completed,1.57,2.25,1.725,2.27,,,,,2010_1_auckland_asb_classic,2010_1_auckland_asb_classic_2010-01-06_QF_peer_s_kirilenko_m,2010-W-INT-NZL-01A-2010_28,1049,2010-W-INT-NZL-01A-2010,Auckland,QF,201424,Shahar Peer,201373,Maria Kirilenko,tournament_rank_unique,False,
tennis_data_uk,wta,2010,1,ASB Classic,Auckland,2010-01-07,international,True,hard,QF,8,3,Wickmayer Y.,Date Krumm K.,16,69,2385.0,915.0,2,0,6,2,6,2,,,,,,,completed,1.22,4.0,1.278,4.22,,,,,2010_1_auckland_asb_classic,2010_1_auckland_asb_classic_2010-01-07_QF_wickmayer_y_date_krumm_k,2010-W-INT-NZL-01A-2010_27,1049,2010-W-INT-NZL-01A-2010,Auckland,QF,201518,Yanina Wickmayer,200617,Kimiko Date Krumm,tournament_rank_unique,False,
tennis_data_uk,wta,2010,1,ASB Classic,Auckland,2010-01-07,international,True,hard,QF,8,3,Pennetta F.,Cibulkova D.,12,28,3150.0,1875.0,2,0,6,1,6,2,,,,,,,completed,1.36,2.75,1.42,3.17,,,,,2010_1_auckland_asb_classic,2010_1_auckland_asb_classic_2010-01-07_QF_pennetta_f_cibulkova_d,2010-W-INT-NZL-01A-2010_25,1049,2010-W-INT-NZL-01A-2010,Auckland,QF,201355,Flavia Pennetta,201495,Dominika Cibulkova,tournament_rank_unique,False,
tennis_data_uk,wta,2010,1,ASB Classic,Auckland,2010-01-07,international,True,hard,QF,8,3,Schiavone F.,Cornet A.,17,49,2375.0,1285.0,2,0,6,2,6,3,,,,,,,completed,1.53,2.37,1.645,2.43,,,,,2010_1_auckland_asb_classic,2010_1_auckland_asb_classic_2010-01-07_QF_schiavone_f_cornet_a,2010-W-INT-NZL-01A-2010_26,1049,2010-W-INT-NZL-01A-2010,Auckland,QF,201212,Francesca Schiavone,201427,Alize Cornet,tournament_rank_unique,False,
tennis_data_uk,wta,2010,1,ASB Classic,Auckland,2010-01-08,international,True,hard,SF,4,3,Wickmayer Y.,Peer S.,16,30,2385.0,1780.0,2,0,6,4,7,5,,,,,,,completed,1.44,2.62,1.549,2.67,,,,,2010_1_auckland_asb_classic,2010_1_auckland_asb_classic_2010-01-08_SF_wickmayer_y_peer_s,2010-W-INT-NZL-01A-2010_30,1049,2010-W-INT-NZL-01A-2010,Auckland,SF,201518,Yanina Wickmayer,201424,Shahar Peer,tournament_rank_unique,False,
tennis_data_uk,wta,2010,1,ASB Classic,Auckland,2010-01-08,international,True,hard,SF,4,3,Pennetta F.,Schiavone F.,12,17,3150.0,2375.0,2,0,6,3,6,0,,,,,,,completed,1.53,2.37,1.621,2.48,,,,,2010_1_auckland_asb_classic,2010_1_auckland_asb_classic_2010-01-08_SF_pennetta_f_schiavone_f,2010-W-INT-NZL-01A-2010_29,1049,2010-W-INT-NZL-01A-2010,Auckland,SF,201355,Flavia Pennetta,201212,Francesca Schiavone,tournament_rank_unique,False,
tennis_data_uk,wta,2010,1,ASB Classic,Auckland,2010-01-09,international,True,hard,F,2,3,Wickmayer Y.,Pennetta F.,16,12,2385.0,3150.0,2,0,6,3,6,2,,,,,,,completed,2.5,1.53,2.55,1.595,,,,,2010_1_auckland_asb_classic,2010_1_auckland_asb_classic_2010-01-09_F_wickmayer_y_pennetta_f,2010-W-INT-NZL-01A-2010_31,1049,2010-W-INT-NZL-01A-2010,Auckland,F,201518,Yanina Wickmayer,201355,Flavia Pennetta,tournament_rank_unique,False,
tennis_data_uk,wta,2010,2,Brisbane International,Brisbane,2010-01-03,international,True,hard,R32,32,3,Clijsters K.,Garbin T.,18,59,2340.0,1095.0,2,0,6,2,6,1,,,,,,,completed,1.04,10.0,1.045,15.5,,,,,2010_2_brisbane_brisbane_international,2010_2_brisbane_brisbane_international_2010-01-03_R32_clijsters_k_garbin_t,2010-W-INT-AUS-01A-2010_1,800,2010-W-INT-AUS-01A-2010,Brisbane,R32,200079,Kim Clijsters,200060,Tathiana Garbin,tournament_rank_unique,False,
tennis_data_uk,wta,2010,2,Brisbane International,Brisbane,2010-01-03,international,True,hard,R32,32,3,Molik A.,Makarova E.,198,60,276.0,1094.0,2,1,6,4,1,6,6,4,,,,,completed,1.66,2.1,1.826,2.12,,,,,2010_2_brisbane_brisbane_international,2010_2_brisbane_brisbane_international_2010-01-03_R32_molik_a_makarova_e,2010-W-INT-AUS-01A-2010_2,800,2010-W-INT-AUS-01A-2010,Brisbane,R32,200008,Alicia Molik,201505,Kate Makarova,tournament_rank_unique,False,
tennis_data_uk,wta,2010,2,Brisbane International,Brisbane,2010-01-03,international,True,hard,R32,32,3,King V.,Bammer S.,80,54,801.0,1190.0,2,0,6,4,6,1,,,,,,,completed,2.1,1.66,2.2,1.769,,,,,2010_2_brisbane_brisbane_international,2010_2_brisbane_brisbane_international_2010-01-03_R32_king_v_bammer_s,2010-W-INT-AUS-01A-2010_7,800,2010-W-INT-AUS-01A-2010,Brisbane,R32,201447,Vania King,201446,Sybille Bammer,tournament_rank_unique,False,
tennis_data_uk,wta,2010,2,Brisbane International,Brisbane,2010-01-03,international,True,hard,R32,32,3,Zahlavova Strycova B.,Govortsova O.,66,50,932.0,1235.0,2,0,6,4,6,1,,,,,,,completed,2.5,1.5,2.48,1.621,,,,,2010_2_brisbane_brisbane_international,2010_2_brisbane_brisbane_international_2010-01-03_R32_zahlavova_strycova_b_govortsova_o,2010-W-INT-AUS-01A-2010_14,800,2010-W-INT-AUS-01A-2010,Brisbane,R32,201366,Barbora Strycova,201501,Olga Govortsova,tournament_rank_unique,False,
tennis_data_uk,wta,2010,2,Brisbane International,Brisbane,2010-01-03,international,True,hard,R32,32,3,Petkovic A.,Benesova I.,55,38,1172.0,1540.0,2,1,6,7,6,2,6,1,,,,,completed,2.1,1.66,2.12,1.826,,,,,2010_2_brisbane_brisbane_international,2010_2_brisbane_brisbane_international_2010-01-03_R32_petkovic_a_benesova_i,2010-W-INT-AUS-01A-2010_8,800,2010-W-INT-AUS-01A-2010,Brisbane,R32,201492,Andrea Petkovic,201331,Iveta Benesova,tournament_rank_unique,False,
tennis_data_uk,wta,2010,2,Brisbane International,Brisbane,2010-01-03,international,True,hard,R32,32,3,Czink M.,Hradecka L.,37,64,1547.0,976.0,2,1,6,4,3,6,6,3,,,,,completed,1.36,3.0,1.452,3.02,,,,,2010_2_brisbane_brisbane_international,2010_2_brisbane_brisbane_international_2010-01-03_R32_czink_m_hradecka_l,2010-W-INT-AUS-01A-2010_13,800,2010-W-INT-AUS-01A-2010,Brisbane,R32,201349,Melinda Czink,201556,Lucie Hradecka,tournament_rank_unique,False,
tennis_data_uk,wta,2010,2,Brisbane International,Brisbane,2010-01-04,international,True,hard,R32,32,3,Vinci R.,Errani S.,63,47,1036.0,1370.0,2,1,6,4,2,6,6,2,,,,,completed,2.0,1.72,2.07,1.862,,,,,2010_2_brisbane_brisbane_international,2010_2_brisbane_brisbane_international_2010-01-04_R32_vinci_r_errani_s,2010-W-INT-AUS-01A-2010_10,800,2010-W-INT-AUS-01A-2010,Brisbane,R32,201311,Roberta Vinci,201506,Sara Errani,tournament_rank_unique,False,
tennis_data_uk,wta,2010,2,Brisbane International,Brisbane,2010-01-04,international,True,hard,R32,32,3,Bacsinszky T.,Kudryavtseva A.,53,89,1223.0,700.0,2,0,6,4,7,6,,,,,,,completed,1.66,2.1,1.752,2.23,,,,,2010_2_brisbane_brisbane_international,2010_2_brisbane_brisbane_international_2010-01-04_R32_bacsinszky_t_kudryavtseva_a,2010-W-INT-AUS-01A-2010_11,800,2010-W-INT-AUS-01A-2010,Brisbane,R32,201490,Timea Bacsinszky,201485,Alla Kudryavtseva,tournament_rank_unique,False,
tennis_data_uk,wta,2010,2,Brisbane International,Brisbane,2010-01-04,international,True,hard,R32,32,3,Ivanovic A.,Dokic J.,21,56,2067.0,1123.0,2,1,7,5,1,6,6,3,,,,,completed,1.53,2.37,1.641,2.44,,,,,2010_2_brisbane_brisbane_international,2010_2_brisbane_brisbane_international_2010-01-04_R32_ivanovic_a_dokic_j,2010-W-INT-AUS-01A-2010_12,800,2010-W-INT-AUS-01A-2010,Brisbane,R32,201421,Ana Ivanovic,200120,Jelena Dokic,tournament_rank_unique,False,
tennis_data_uk,wta,2010,2,Brisbane International,Brisbane,2010-01-04,international,True,hard,R32,32,3,Safarova L.,Groenefeld A.L.,41,65,1480.0,946.0,2,1,6,7,6,4,6,1,,,,,completed,1.38,2.87,1.455,3.01,,,,,2010_2_brisbane_brisbane_international,2010_2_brisbane_brisbane_international_2010-01-04_R32_safarova_l_groenefeld_a_l,2010-W-INT-AUS-01A-2010_3,800,2010-W-INT-AUS-01A-2010,Brisbane,R32,201425,Lucie Safarova,201394,Anna Lena Groenefeld,tournament_rank_unique,False,
tennis_data_uk,wta,2010,2,Brisbane International,Brisbane,2010-01-04,international,True,hard,R32,32,3,Karatantcheva S.,Dellacqua C.,132,1002,462.0,7.0,2,1,6,2,0,6,7,6,,,,,completed,1.66,2.1,1.8,2.15,,,,,2010_2_brisbane_brisbane_international,2010_2_brisbane_brisbane_international_2010-01-04_R32_karatantcheva_s_dellacqua_c,2010-W-INT-AUS-01A-2010_15,800,2010-W-INT-AUS-01A-2010,Brisbane,R32,201402,Sesil Karatantcheva,201348,Casey Dellacqua,tournament_rank_unique,False,
tennis_data_uk,wta,2010,2,Brisbane International,Brisbane,2010-01-04,international,True,hard,R32,32,3,Pavlyuchenkova A.,Kleybanova A.,40,29,1505.0,1870.0,2,1,6,4,2,6,6,2,,,,,completed,2.1,1.66,2.23,1.752,,,,,2010_2_brisbane_brisbane_international,2010_2_brisbane_brisbane_international_2010-01-04_R32_pavlyuchenkova_a_kleybanova_a,2010-W-INT-AUS-01A-2010_9,800,2010-W-INT-AUS-01A-2010,Brisbane,R32,201499,Anastasia Pavlyuchenkova,201515,Alisa Kleybanova,tournament_rank_unique,False,
tennis_data_uk,wta,2010,2,Brisbane International,Brisbane,2010-01-04,international,True,hard,R32,32,3,Henin J.,Petrova N.,,20,,2220.0,2,0,7,5,7,5,,,,,,,completed,1.28,3.5,1.345,3.62,,,,,2010_2_brisbane_brisbane_international,2010_2_brisbane_brisbane_international_2010-01-04_R32_henin_j_petrova_n,2010-W-INT-AUS-01A-2010_16,800,2010-W-INT-AUS-01A-2010,Brisbane,R32,200003,Justine Henin,200069,Nadia Petrova,tournament_round_name_pair,False,missing_rank
tennis_data_uk,wta,2010,2,Brisbane International,Brisbane,2010-01-04,international,True,hard,R32,32,3,Szavay A.,Peng S.,39,46,1520.0,1396.0,2,1,5,7,6,4,6,2,,,,,completed,2.75,1.4,2.86,1.49,,,,,2010_2_brisbane_brisbane_international,2010_2_brisbane_brisbane_international_2010-01-04_R32_szavay_a_peng_s,2010-W-INT-AUS-01A-2010_6,800,2010-W-INT-AUS-01A-2010,Brisbane,R32,201497,Agnes Szavay,201397,Shuai Peng,tournament_rank_unique,False,
tennis_data_uk,wta,2010,2,Brisbane International,Brisbane,2010-01-04,international,True,hard,R32,32,3,Wozniak A.,Voskoboeva G.,34,106,1645.0,610.0,2,0,6,2,6,2,,,,,,,completed,1.25,3.75,1.299,4.01,,,,,2010_2_brisbane_brisbane_international,2010_2_brisbane_brisbane_international_2010-01-04_R32_wozniak_a_voskoboeva_g,2010-W-INT-AUS-01A-2010_4,800,2010-W-INT-AUS-01A-2010,Brisbane,R32,201486,Aleksandra Wozniak,201448,Galina Voskoboeva,tournament_rank_unique,False,
tennis_data_uk,wta,2010,2,Brisbane International,Brisbane,2010-01-04,international,True,hard,R32,32,3,Hantuchova D.,Ivanova E.,24,141,1985.0,418.0,2,1,6,1,6,7,6,1,,,,,completed,1.2,4.33,1.206,5.25,,,,,2010_2_brisbane_brisbane_international,2010_2_brisbane_brisbane_international_2010-01-04_R32_hantuchova_d_ivanova_e,2010-W-INT-AUS-01A-2010_5,800,2010-W-INT-AUS-01A-2010,Brisbane,R32,201290,Daniela Hantuchova,201511,Ekaterina Ivanova,tournament_rank_unique,False,
tennis_data_uk,wta,2010,2,Brisbane International,Brisbane,2010-01-05,international,True,hard,R16,16,3,Petkovic A.,King V.,55,80,1172.0,801.0,2,1,4,6,6,2,6,1,,,,,completed,1.61,2.2,1.667,2.38,,,,,2010_2_brisbane_brisbane_international,2010_2_brisbane_brisbane_international_2010-01-05_R16_petkovic_a_king_v,2010-W-INT-AUS-01A-2010_20,800,2010-W-INT-AUS-01A-2010,Brisbane,R16,201492,Andrea Petkovic,201447,Vania King,tournament_rank_unique,False,
tennis_data_uk,wta,2010,2,Brisbane International,Brisbane,2010-01-05,international,True,hard,R16,16,3,Czink M.,Zahlavova Strycova B.,37,66,1547.0,932.0,2,1,6,3,2,6,6,1,,,,,completed,1.5,2.5,1.625,2.47,,,,,2010_2_brisbane_brisbane_international,2010_2_brisbane_brisbane_international_2010-01-05_R16_czink_m_zahlavova_strycova_b,2010-W-INT-AUS-01A-2010_23,800,2010-W-INT-AUS-01A-2010,Brisbane,R16,201349,Melinda Czink,201366,Barbora Strycova,tournament_rank_unique,False,
tennis_data_uk,wta,2010,2,Brisbane International,Brisbane,2010-01-05,international,True,hard,R16,16,3,Clijsters K.,Molik A.,18,198,2340.0,276.0,2,0,6,0,6,3,,,,,,,completed,1.083,7.0,1.098,9.16,,,,,2010_2_brisbane_brisbane_international,2010_2_brisbane_brisbane_international_2010-01-05_R16_clijsters_k_molik_a,2010-W-INT-AUS-01A-2010_17,800,2010-W-INT-AUS-01A-2010,Brisbane,R16,200079,Kim Clijsters,200008,Alicia Molik,tournament_rank_unique,False,
tennis_data_uk,wta,2010,2,Brisbane International,Brisbane,2010-01-05,international,True,hard,R16,16,3,Ivanovic A.,Bacsinszky T.,21,53,2067.0,1223.0,2,1,6,2,2,6,6,4,,,,,completed,1.44,2.62,1.513,2.79,,,,,2010_2_brisbane_brisbane_international,2010_2_brisbane_brisbane_international_2010-01-05_R16_ivanovic_a_bacsinszky_t,2010-W-INT-AUS-01A-2010_22,800,2010-W-INT-AUS-01A-2010,Brisbane,R16,201421,Ana Ivanovic,201490,Timea Bacsinszky,tournament_rank_unique,False,
